_id	verkehr	entwicklung	gesellschaft	innere_sicherheit	verteidigung	aeusseres	digitalisierung_technik	soziales	umwelt	europa	haushalt_finanzen	arbeit	kultur_medien_sport	gesundheit	landwirtschaft_ernaehrung	bildung_forschung	wirtschaft	none	intercoder_sample	coder	wirtschaft_finanzen_merge	_source.text
922866835887984641	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	"Der ""schwarze Block"" hat übrigens heute (links neben mir) im Bundestag eine ganz neue Bedeutung bekommen ... #bt19 #Bundestag"
923412288308236288	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	VW-Chef Müller fordert Superministerium Wirtschaft und technologische Infrastruktur nach japanischem Vorbild (MITI) https://t.co/BOxjOTjmH0
923452548442460160	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	300.000 Polizisten sorgen Tag für Tag für unsere Sicherheit. Dafür verdienen Sie unseren Dank und unsere Anerkennung. #starkfürdich https://t.co/7okpl18IID
926501188236869634	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	"~ 1️⃣2️⃣,5️⃣ Mio. Deutsche haben per Zweitstimme CDU gewählt - eine Frage an diese Leute:
War DAS wirklich Ihr Ziel?
https://t.co/T5koRP9Yeh"
927635670352441346	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	"#AfD-Doppelmandatsträger:
Spangenberg, Mrosek, Holm, Komning, Baumann und Meuthen
Wen habe ich vergessen? #aufrecht?"
927922781068685313	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	"Viel Freude bei der ""Zusammenarbeit""!😉 https://t.co/iB6CzuSNNn"
928658060280762369	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	Ein starkes Statement. Diese Einstellung wünschen wir uns bei der Berliner Polizei! https://t.co/fiP8X5pzXY
931816665117011968	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	Yey - heute das erste Mal Präsidium auf der #ldk17 der @GrueneBBG. Und dann auch noch mit @HeinrichNiehues https://t.co/aQKoWyyzFE
933373825235980288	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	Interessant. https://t.co/mXEuP7YI0t
934021169774317569	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	Dieses Urteil macht es noch klarer: #wegmit219a. Punkt. Solidarität mit #KristinaHänel! #teamkristina
934476107130327046	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	Macht endlich Schluss mit  #Glyphosat Never ending Story. Der Druck muss aufrecht erhalten werden! https://t.co/loZWsKCxsp
935133366109732864	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	Also eigentlich müsste der @Tobias_Schulze ja korrekter Weise zukunftspolitischer Sprecher der @LinksfraktionB heißen ;-) #wissenschaftspolitik #forschungspolitik #netzpolitik
938769767820820480	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	Europa braucht jetzt keine wolkigen Luftschlösser für den Sankt-Nimmerleins-Tag sondern wir müssen die jetzt anstehenden Aufgaben abarbeiten u für Sicherheit u Wohlstand sorgen. Wir brauchen in diesen Krisenzeiten greifbare Ergebnisse für die Bürger #spdbpt17 #EU @MartinSchulz
939095532361961472	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	Gerade gesehen: Der Weihnachtsmann arbeitet bei DHL! Aktuell ist er in #Glinde unterwegs. https://t.co/D9TqvGysKX
940200793944227840	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	#Polizeiakademie #Berlin: Gab viel heißen Brei &amp; groben Unfug nach dem Motto „Die Jugend von heute...“ Hier die tatsächlichen Disziplinarverfahren:  Im Verhältnis zur Zahl der Einstellungen (re. handschr.) sind die jungen Leute heute noch disziplinierter 😱👮🏻‍♀️💚💪🏻👮‍♂️ https://t.co/ImWGMn458g
940937663418372096	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1	FALSE	Wir gratulieren unseren Mitarbeiterinnen Sylke Haas zum 25-jährigen &amp; Yvette Pätz zum 15-jährigen Jubiläum bei der CDU-Fraktion im Thüringer Landtag. https://t.co/xTPYvlkeOz
